Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","New Food Balances","41","China, mainland","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","727","Fc","Calculated data"
"FBS","New Food Balances","41","China, mainland","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","39.65","Fc","Calculated data"
"FBS","New Food Balances","214","China, Taiwan Province of","664","Food supply (kcal/capita/day)","2901","Grand Total","2018","2018","kcal/capita/day","2983","Fc","Calculated data"
"FBS","New Food Balances","214","China, Taiwan Province of","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2018","2018","g/capita/day","86.2","Fc","Calculated data"
"FBS","New Food Balances","214","China, Taiwan Province of","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","674","Fc","Calculated data"
"FBS","New Food Balances","214","China, Taiwan Province of","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","43.58","Fc","Calculated data"
"FBS","New Food Balances","44","Colombia","664","Food supply (kcal/capita/day)","2901","Grand Total","2018","2018","kcal/capita/day","3114","Fc","Calculated data"
"FBS","New Food Balances","44","Colombia","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2018","2018","g/capita/day","72.92","Fc","Calculated data"
"FBS","New Food Balances","44","Colombia","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","545","Fc","Calculated data"
"FBS","New Food Balances","44","Colombia","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","37.31","Fc","Calculated data"
"FBS","New Food Balances","46","Congo","664","Food supply (kcal/capita/day)","2901","Grand Total","2018","2018","kcal/capita/day","2285","Fc","Calculated data"
"FBS","New Food Balances","46","Congo","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2018","2018","g/capita/day","58.16","Fc","Calculated data"
"FBS","New Food Balances","46","Congo","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","216","Fc","Calculated data"
"FBS","New Food Balances","46","Congo","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","26.39","Fc","Calculated data"
"FBS","New Food Balances","48","Costa Rica","664","Food supply (kcal/capita/day)","2901","Grand Total","2018","2018","kcal/capita/day","3029","Fc","Calculated data"
"FBS","New Food Balances","48","Costa Rica","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2018","2018","g/capita/day","82.42","Fc","Calculated data"
"FBS","New Food Balances","48","Costa Rica","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","697","Fc","Calculated data"
"FBS","New Food Balances","48","Costa Rica","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","45.97","Fc","Calculated data"
"FBS","New Food Balances","107","Côte d'Ivoire","664","Food supply (kcal/capita/day)","2901","Grand Total","2018","2018","kcal/capita/day","2778","Fc","Calculated data"
"FBS","New Food Balances","107","Côte d'Ivoire","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2018","2018","g/capita/day","57.61","Fc","Calculated data"
"FBS","New Food Balances","107","Côte d'Ivoire","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","110","Fc","Calculated data"
"FBS","New Food Balances","107","Côte d'Ivoire","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","14.27","Fc","Calculated data"
"FBS","New Food Balances","98","Croatia","664","Food supply (kcal/capita/day)","2901","Grand Total","2018","2018","kcal/capita/day","3074","Fc","Calculated data"
"FBS","New Food Balances","98","Croatia","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2018","2018","g/capita/day","90.6","Fc","Calculated data"
"FBS","New Food Balances","98","Croatia","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","928","Fc","Calculated data"
"FBS","New Food Balances","98","Croatia","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","55.7","Fc","Calculated data"
"FBS","New Food Balances","49","Cuba","664","Food supply (kcal/capita/day)","2901","Grand Total","2018","2018","kcal/capita/day","3344","Fc","Calculated data"
"FBS","New Food Balances","49","Cuba","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2018","2018","g/capita/day","84.89","Fc","Calculated data"
"FBS","New Food Balances","49","Cuba","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","543","Fc","Calculated data"
"FBS","New Food Balances","49","Cuba","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","34.44","Fc","Calculated data"
"FBS","New Food Balances","50","Cyprus","664","Food supply (kcal/capita/day)","2901","Grand Total","2018","2018","kcal/capita/day","3019","Fc","Calculated data"
"FBS","New Food Balances","50","Cyprus","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2018","2018","g/capita/day","91.67","Fc","Calculated data"
"FBS","New Food Balances","50","Cyprus","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","668","Fc","Calculated data"
"FBS","New Food Balances","50","Cyprus","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","45.6","Fc","Calculated data"
"FBS","New Food Balances","167","Czechia","664","Food supply (kcal/capita/day)","2901","Grand Total","2018","2018","kcal/capita/day","3277","Fc","Calculated data"
"FBS","New Food Balances","167","Czechia","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2018","2018","g/capita/day","86.98","Fc","Calculated data"
"FBS","New Food Balances","167","Czechia","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","924","Fc","Calculated data"
"FBS","New Food Balances","167","Czechia","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","52.83","Fc","Calculated data"
"FBS","New Food Balances","116","Democratic People's Republic of Korea","664","Food supply (kcal/capita/day)","2901","Grand Total","2018","2018","kcal/capita/day","2019","Fc","Calculated data"
"FBS","New Food Balances","116","Democratic People's Republic of Korea","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2018","2018","g/capita/day","53.34","Fc","Calculated data"
"FBS","New Food Balances","116","Democratic People's Republic of Korea","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","129","Fc","Calculated data"
"FBS","New Food Balances","116","Democratic People's Republic of Korea","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","10.2","Fc","Calculated data"
"FBS","New Food Balances","54","Denmark","664","Food supply (kcal/capita/day)","2901","Grand Total","2018","2018","kcal/capita/day","3401","Fc","Calculated data"
"FBS","New Food Balances","54","Denmark","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2018","2018","g/capita/day","117.08","Fc","Calculated data"
"FBS","New Food Balances","54","Denmark","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","1300","Fc","Calculated data"
